frame,dstport,srcport,destIP,srcIP,replytime,timestamp,seqNo,ackNo,isSyn,isAck,isFin,isTLS,length,fromClient,fromServer,windowSize
1,443,51091,31.13.80.36,172.24.21.152,87,0,943073824,0,TRUE,FALSE,FALSE,FALSE,32,TRUE,FALSE,8192
3,51091,443,172.24.21.152,31.13.80.36,0,87,1317128092,943073825,TRUE,TRUE,FALSE,FALSE,32,FALSE,TRUE,14100
4,443,51091,31.13.80.36,172.24.21.152,107,87,943073825,1317128093,FALSE,TRUE,FALSE,FALSE,20,TRUE,FALSE,16560
7,443,51091,31.13.80.36,172.24.21.152,107,88,943073825,1317128093,FALSE,TRUE,FALSE,TRUE,20,TRUE,FALSE,16560
9,51091,443,172.24.21.152,31.13.80.36,88,107,1317128093,943074342,FALSE,TRUE,FALSE,FALSE,20,FALSE,TRUE,60
10,443,51091,31.13.80.36,172.24.21.152,121,108,943074342,1317128245,FALSE,TRUE,FALSE,FALSE,20,TRUE,FALSE,16522
13,51091,443,172.24.21.152,31.13.80.36,108,121,1317128093,943074342,FALSE,TRUE,FALSE,TRUE,20,FALSE,TRUE,60
2,443,51092,31.13.80.36,172.24.21.152,88,13,3022043163,0,TRUE,FALSE,FALSE,FALSE,32,TRUE,FALSE,8192
5,51092,443,172.24.21.152,31.13.80.36,13,88,4090870837,3022043164,TRUE,TRUE,FALSE,FALSE,32,FALSE,TRUE,14100
6,443,51092,31.13.80.36,172.24.21.152,137,88,3022043164,4090870838,FALSE,TRUE,FALSE,FALSE,20,TRUE,FALSE,16560
8,443,51092,31.13.80.36,172.24.21.152,137,89,3022043164,4090870838,FALSE,TRUE,FALSE,TRUE,20,TRUE,FALSE,16560
11,51092,443,172.24.21.152,31.13.80.36,89,137,4090870838,3022043681,FALSE,TRUE,FALSE,FALSE,20,FALSE,TRUE,60
